Deutscher name,Kreis,,Polisch name,,,
Aalgraben,  Randow, Pommern, Węgornik,,,
Abrahamsruh,  Goldap, Ostpreußen, Jabramowo,,,
Abschermeningken (1932–1945 Almental),  Darkehmen/Angerapp, Ostpreußen, Obszarniki,,,
Abstich,  Allenstein, Ostpreußen, Łupstych (Gietrzwałd) sowie Łupstych (Olsztyn),,,
Abtshagen,  Schlawe, Pommern, Dobiesław (1945 Pięćmiechowo),,,
Achodden (1938–1945 Neuvölklingen (Ostpr.)),  Ortelsburg, Ostpreußen, Ochódno,,,
Achthuben,  Neustadt, Oberschlesien, Włóczno,,,
Achthuben,  Preußisch Eylau, Ostpreußen, Reszkowo,,,
Ackermühle,  Rummelsburg, Pommern, Studnica,,,
Adamsdorf,  Soldin, Brandenburg, Sulimierz (1945–1946 Adamowice),,,
Adamsgut,  Osterode, Ostpreußen, Jadaminy,,,
Adamsheide,  Osterode, Ostpreußen, Jadamowo,,,
Adamshof,  Rößel, Ostpreußen, Adamowo,,,
Adamsverdruß,  Ortelsburg, Ostpreußen, Szklarnia,,,
Adelnau,  Adelnau, Posen, Odolanów,,,
Adelsbach,  Waldenburg, Niederschlesien, Struga,,,
Adlersbude,  Osterode, Ostpreußen, Orlik,,,
Adlersfelde,  Goldap, Ostpreußen, Orliniec,,,
Adlershorst,  Neidenburg, Ostpreußen, Moczysko,,,
Adlershorst (1939–1945 Gotenhafen-Adlershorst),  Neustadt, Westpreußen, Orłowo,,,
Adlig Bergfriede,  Osterode, Ostpreußen, Samborówko,,,
Adlig Bialla (1938–1945 Bleichenau),  Lötzen, Ostpreußen, Biała Giżycka,,,
Adlig Borken,  Johannisburg, Ostpreußen, Borki,,,
Adlig Borowo,  Neidenburg, Ostpreußen, Borowo,,,
Adlig Dietrichsdorf,  Neidenburg, Ostpreußen, Wietrzychowo,,,
Adlig Kamiontken (1932–1945 Steintal),  Neidenburg, Ostpreußen, Kamionki,,,
Adlig Kessel,  Johannisburg, Ostpreußen, Kociołek Szlachecki (oder Płocice, Wilkusze, Kociołek),
Adlig Kublitz,  Stolp, Pommern, Kobylniczka,,,
Adlig Lichteinen (Lichteinen b. Osterode, 1931–1945 Lichteinen), Kreis Osterode, Ostpreußen, Lichtajny,,
Adlig Neufelde,  Oletzko/Treuburg, Ostpreußen, Bialskie Pole,,,
Adlig Ober Plehnen,  Rastenburg, Ostpreußen, Równina Górna,,,
Adlig Plienkeim,  Rastenburg, Ostpreußen, Plinkajmy Małe,,,
Adlig Queetz,  Heilsberg, Ostpreußen, Kwiecewo,,,
Adlig Rakowen, Domäne (1938–1945 Raken), Kreis Johannisburg, Ostpreußen, Rakowo,,
Adlig Rakowen, Dorf (1938–1945 Raken (Ostpr.)), Kreis Johannisburg, Ostpreußen, Rakowo Piskie,,
Adlig Stumplack,  Rastenburg, Ostpreußen, Stąpławki,,,
Adlig Unter Plehnen,  Rastenburg, Ostpreußen, Równina Dolna,,,
Adlig Wolka (1938–1945 Adlig Wolken). Kreis Rößel, Ostpreußen, Wólka Szlachecka,,,,
Adlig Wolla (1938–1945 Freihausen),  Lötzen, Ostpreußen, Pańska Wola,,,
Adolfsaue,  Arnswalde, Brandenburg/Pommern, Zdrójno,,,
Adolfshof,  Gerdauen, Ostpreußen, Goszczewo,,,
Adolfshof,  Greifenberg, Pommern, Grębocin (1945 Mały Dwór),,,
Adolphium, Witosław,,,,,
Aftinten,  Gerdauen, Ostpreußen, Aptynty,,,
Agneshof,  Königsberg (Neumark), Brandenburg, Rosnowo Chojeńskie,,,
Agnetendorf,  Hirschberg, Niederschlesien, Jagniątków,,,
Agstein,  Braunsberg, Ostpreußen, Augustyny,,,
Albendorf,  Landeshut, Niederschlesien, Okrzeszyn (1945 Albinów),,,
