"birth_city","citizenship","pct_citizen","total_city_records"
"NADOR","252",83.3,24
"OMSK","160",87,23
"BEUTHEN","152",100,22
"ZONGULDAK","163",95,20
"LIPLJAN","170",61.1,18
"VRANCEA","154",100,18
"TUERKEI","163",100,17
"ALTAI","160",75,16
"HASAKA","475",68.8,16
"MOSUL","438",68.8,16
"OSTRODA","152",100,16
"BRCKO","122",66.7,15
"BYTOM","152",93.3,15
"FOCSANI","154",100,15
"HINDENBURG","152",100,15
"KATTOWITZ","152",100,15
"RUDA SLASKA","152",93.3,15
"VARTO","163",93.3,15
"ZABRZE","152",86.7,15
"BACAU","154",100,14
"CHORZOW","152",100,14
"PAWLODAR","444",71.4,14
"PLOIESTI","154",85.7,14
"BAGDAD","438",69.2,13
"BAKIRKOY","163",76.9,13
"BRESLAU","152",61.5,13
"GDANSK","152",100,13
"IALOMITA","154",100,13
"IASI","154",100,13
"LAGOS","232",69.2,13
"RACIBORZ","152",100,13
"SEVILLA","161",92.3,13
"STRZELCE OPOLSKIE","152",100,13
"TIMISOARA","154",92.3,13
"WROCLAW","152",84.6,13
"ALLENSTEIN","152",100,12
"BARTIN","163",100,12
"BUKAREST","154",66.7,12
"EREGLI","163",100,12
"NINAWA","438",100,12
"NINEVEH","438",75,12
"OPOLE","152",100,12
"POZNAN","152",91.7,12
"RATIBOR","152",100,12
"RESITA","154",100,12
"SAO PAULO","327",66.7,12
"SZTUM","152",100,12
"ZELINOGRAD","444",75,12
"ADANA","163",72.7,11
"CHARKOW","166",63.6,11
"CONSTANTA","154",100,11
"DEVREK","163",90.9,11
"GROSS STREHLITZ","152",90.9,11
"IDLIB","475",72.7,11
"KAYSERI","163",81.8,11
"KIRSEHIR","163",100,11
"MAGURA","170",72.7,11
"MIKOLOW","152",100,11
"NAINAWA","438",100,11
"OLSZTYN","152",100,11
"OPPELN","152",100,11
"OUJDA","252",72.7,11
"PLOVDIV","125",63.6,11
"POZAREVAC","170",81.8,11
"TARNOWSKIE GORY","152",100,11
"BALIKESIR","163",90,10
"BRAILA","154",100,10
"CRAIOVA","154",80,10
"GLEIWITZ","152",100,10
"KABUL","423",70,10
"KEDZIERZYN-KOZLE","152",100,10
"KERALA","436",100,10
"LAURAHUTTE","152",100,10
"LODZ","152",100,10
"MITROVICE","150",70,10
"OLESNO","152",100,10
"PIEKARY SLASKIE","152",100,10
"PINARBASI","163",100,10
"PUNJAB","436",70,10
"SLUPSK","152",90,10
"TARNOWITZ","152",100,10
"AKDAGMADENI","163",77.8,9
"BIELSKO-BIALA","152",100,9
"BOGAZLIYAN","163",88.9,9
"BRASOV","154",88.9,9
"BYDGOSZCZ","152",88.9,9
"CALARASI","154",66.7,9
"CATANIA","137",77.8,9
