"birth_city","birth_country","bc_name","count"
"DAMASKUS","475","Syrien",41
"PAWLODAR","444","Kasachstan",35
"ISTANBUL","163","Türkei",32
"ALEPPO","475","Syrien",29
"BEIRUT","451","Libanon",26
"PRISHTINA","150","Kosovo",26
"CHISINAU","146","Moldau",25
"OMSK","160","Russische Föderation",25
"NADOR","252","Marokko",22
"ATHEN","134","Griechenland",18
"VRANCEA","154","Rumänien",18
"ZONGULDAK","163","Türkei",18
"EREGLI","163","Türkei",16
"SKOPJE","144","Nordmazedonien",16
"BARCELONA","161","Spanien",15
"MOSUL","438","Irak",15
"WIEN","151","Österreich",15
"ZENICA","122","Bosnien und Herzegowina",15
"BAGDAD","438","Irak",14
"HASAKA","475","Syrien",14
"KARAGANDA","444","Kasachstan",14
"NIS","170","Serbien",14
"VARTO","163","Türkei",14
"ACCRA","238","Ghana",13
"BACAU","154","Rumänien",13
"DARAA","475","Syrien",13
"HOMS","475","Syrien",13
"IALOMITA","154","Rumänien",13
"PEJE","150","Kosovo",13
"PRISHTINA","170","Serbien",13
"RUDA SLASKA","152","Polen",13
"TALDY-KURGAN","444","Kasachstan",13
"WROCLAW","152","Polen",13
"ALTAI","160","Russische Föderation",12
"BELGRAD","170","Serbien",12
"BEUTHEN","152","Polen",12
"BYTOM","152","Polen",12
"CONSTANTA","154","Rumänien",12
"FOCSANI","154","Rumänien",12
"HINCESTI","146","Moldau",12
"IASI","154","Rumänien",12
"KATTOWITZ","152","Polen",12
"LONDON","168","Vereinigtes Königreich",12
"MAILAND","137","Italien",12
"MOSKAU","160","Russische Föderation",12
"NINAWA","438","Irak",12
"OSTRODA","152","Polen",12
"PEC","138","Jugoslawien, Bundesrepublik",12
"PRISHTINE","150","Kosovo",12
"TARNOWSKIE GORY","152","Polen",12
"TIMISOARA","154","Rumänien",12
"TUZLA","122","Bosnien und Herzegowina",12
"ZAGREB","130","Kroatien",12
"ZELINOGRAD","444","Kasachstan",12
"ALMA-ATA","444","Kasachstan",11
"BAKIRKOY","163","Türkei",11
"BALTI","146","Moldau",11
"BIHAC","122","Bosnien und Herzegowina",11
"BRASOV","154","Rumänien",11
"CHORZOW","152","Polen",11
"FERIZAY","150","Kosovo",11
"GJAKOVE","150","Kosovo",11
"IGDIR","163","Türkei",11
"IZMIR","163","Türkei",11
"KAIRO","287","Ägypten",11
"KIEW","166","Ukraine",11
"KIRSEHIR","163","Türkei",11
"MIKOLOW","152","Polen",11
"NAINAWA","438","Irak",11
"NINEVEH","438","Irak",11
"ODESSA","166","Ukraine",11
"PLOIESTI","154","Rumänien",11
"RACIBORZ","152","Polen",11
"RESITA","154","Rumänien",11
"RIAD","472","Saudi-Arabien",11
"ROM","137","Italien",11
"SAO PAULO","327","Brasilien",11
"UROSEVACI","170","Serbien",11
"ABU DHABI","469","Vereinigte Arabische Emirate",10
"ADANA","163","Türkei",10
"ANKARA","163","Türkei",10
"BENIN CITY","232","Nigeria",10
"BOLOGNA","137","Italien",10
"BRCKO","122","Bosnien und Herzegowina",10
"BRESLAU","152","Polen",10
"CASABLANCA","252","Marokko",10
"DSHAMBUL","444","Kasachstan",10
"ERBIL","438","Irak",10
"FRUNSE","450","Kirgisistan",10
"GDANSK","152","Polen",10
"IDLIB","475","Syrien",10
"JAFFNA","431","Sri Lanka",10
"KABUL","423","Afghanistan",10
"KAKANJ","122","Bosnien und Herzegowina",10
"KAYSERI","163","Türkei",10
"KEMEROWO","160","Russische Föderation",10
"KERALA","436","Indien",10
"MADRID","161","Spanien",10
"MITROVICA","150","Kosovo",10
"NOVI SAD","170","Serbien",10
"NOWOSIBIRSK","160","Russische Föderation",10
"OPOLE","152","Polen",10
"PARIS","129","Frankreich",10
"POZNAN","152","Polen",10
"PRIZREN","150","Kosovo",10
"PUNJAB","436","Indien",10
"RATIBOR","152","Polen",10
"SARAJEVO","122","Bosnien und Herzegowina",10
"STRZELCE OPOLSKIE","152","Polen",10
"TASCHKENT","477","Usbekistan",10
"THESSALONIKI","134","Griechenland",10
"TIRANA","121","Albanien",10
"TRIPOLI","451","Libanon",10
"TRIPOLIS","248","Libyen",10
"ZABRZE","152","Polen",10
"AKDAGMADENI","163","Türkei",9
"ANTWERPEN","124","Belgien",9
"BIELSKO-BIALA","152","Polen",9
"BRAILA","154","Rumänien",9
"BUENOS AIRES","323","Argentinien",9
"BUKAREST","154","Rumänien",9
"DUHOK","438","Irak",9
"ELAZIG","163","Türkei",9
"GALATI","154","Rumänien",9
"HINDENBURG","152","Polen",9
"KAMISHLI","475","Syrien",9
"KEDZIERZYN-KOZLE","152","Polen",9
"LAGOS","232","Nigeria",9
"LODZ","152","Polen",9
"OUJDA","252","Marokko",9
"PEC","170","Serbien",9
"PINARBASI","163","Türkei",9
"PRIJEDOR","122","Bosnien und Herzegowina",9
"RIGA","139","Lettland",9
"SLUPSK","152","Polen",9
"SUBOTICA","170","Serbien",9
"SWERDLOWSK","160","Russische Föderation",9
"TBILISI","430","Georgien",9
"TORUN","152","Polen",9
"ZAVIDOVICI","122","Bosnien und Herzegowina",9
"AMMAN","445","Jordanien",8
"ARBIL","438","Irak",8
"ARMASESTI","154","Rumänien",8
"BAKU","425","Aserbaidschan",8
"BALIKESIR","163","Türkei",8
"BARTIN","163","Türkei",8
"BIRMINGHAM","168","Vereinigtes Königreich",8
"BISTRITA","154","Rumänien",8
"BOGAZLIYAN","163","Türkei",8
"BURSA","163","Türkei",8
"CALARASI","154","Rumänien",8
"DAMASCUS","475","Syrien",8
"DEVREK","163","Türkei",8
"DIYARBAKIR","163","Türkei",8
"DOBOJ","122","Bosnien und Herzegowina",8
"DOHUK","438","Irak",8
"DOLJ","154","Rumänien",8
"DUBAI","469","Vereinigte Arabische Emirate",8
"ESKISEHIR","163","Türkei",8
"GUJRAT","461","Pakistan",8
"HAMA","475","Syrien",8
"JEDDAH","472","Saudi-Arabien",8
"JELENIA GORA","152","Polen",8
"KARAKOCAN","163","Türkei",8
"KARLIOVA","163","Türkei",8
"KNUROW","152","Polen",8
"KUCUKCEKMECE","163","Türkei",8
"KUMANOVO","144","Nordmazedonien",8
"KUTAHYA","163","Türkei",8
"LIEGE","124","Belgien",8
"MEKNES","252","Marokko",8
"MELILLA","161","Spanien",8
"MITROVICE","150","Kosovo",8
"MUS","163","Türkei",8
"NADAROWKA","444","Kasachstan",8
