"German_name_clean","Polish_name_clean","Exonym_country"
"BOMST","BABIMOST","152"
"BARTEN","BARCIANY","152"
"WARTENBURG","BARCZEWO","152"
"BERLINCHEN","BARLINEK","152"
"BARTENSTEIN","BARTOSZYCE","152"
"BARWALDE","BARWICE","152"
"ZULZ","BIALA","152"
"BIALLA","BIALA PISKA","152"
"GEHLENBURG","BIALA PISKA","152"
"BELGARD","BIALOGARD","152"
"BALDENBURG","BIALY BOR","152"
"BIET(Z)SCH","BIECZ","152"
"LANGENBIELAU","BIELAWA","152"
"BIELITZ","BIELSKO","152"
"BERNSTADT AN DER WEIDE","BIERUTOW","152"
"GROSS BOSITZ","BIEZYCE","152"
"BISCHOFSBURG","BISKUPIEC","152"
"BISCHOFSTEIN","BISZTYNEK","152"
"BUBLITZ","BOBOLICE","152"
"BOBELWITZ","BOBOWICKO","152"
"BOTTSCHOW","BOCZOW","152"
"REICHENAU","BOGATYNIA","152"
"GOTTESBERG-ROTHENBACH","BOGUSZOW-GORCE","152"
"BUNZLAU","BOLESLAWIEC","152"
"BARENDT","BORETY","152"
"GROSS-BORN","BORNE SULINOWO","152"
"BURAU","BOROWE","152"
"BRAUNSBERG","BRANIEWO","152"
"STRASBURG AN DER DREWENZ","BRODNICA","152"
"STRASBURG IN WESTPREUSSEN","BRODNICA","152"
"BAHRENBUSCH","BROKECINO","152"
"BRATZ","BROJCE","152"
"FORST-SCHEUNO","BROZEK","152"
"BRIEG","BRZEG","152"
"BREST","BRZESC KUJAWSKI","152"
"KUJAWISCH BREST","BRZESC KUJAWSKI","152"
"BRASCHEN","BRZOZKA","152"
"JOHANNESHOF","BRZOZOWY LUG","152"
"BAUDACH","BUDZIECHOW","152"
"BAUCHWITZ","BUKOWIEC","152"
"BUCHWALD","BUKOWKA","152"
"BROMBERG","BYDGOSZCZ","152"
"BUSSOW","BUSZOW","152"
"BEUTHEN IN OBERSCHLESIEN","BYTOM","152"
"BEUTHEN AN DER ODER","BYTOM ODRZANSKI","152"
"ZEHDEN","CEDYNIA","152"
"KUNZENDORF","CHICHY","152"
"KULM","CHELMNO","152"
"KULMSEE","CHELMZA","152"
"NIEMASCHKLEBA","CHLEBOWO","152"
"KUTSCHLAU","CHOCIULE","152"
"FREIENWALDE IN POMMERN","CHOCIWEL","152"
"CHODZIESEN","CHODZIEZ","152"
"KOLMAR IN POSEN","CHODZIEZ","152"
"KONIGSBERG IN DER NEUMARK","CHOJNA","152"
"KONIGSHUTTE","CHORZOW","152"
"ARNSWALDE","CHOSZCZNO","152"
"KRENAU","CHRZANOW","152"
"QUOLSDORF","CHWALISZOWICE","152"
"HERMANNSBAD","CIECHOCINEK","152"
"TESCHEN","CIESZYN","152"
"TESCHENDORF","CIESZYNO","152"
"ZISSENDORF","CISOW","152"
"ZIEBINGEN","CYBINKA","152"
"TEMPELBURG","CZAPLINEK","152"
"CZARNIAKAU","CZARNKOW","152"
"SCHARNIKAU","CZARNKOW","152"
"ZWORNOGOSCHUTZ","CZARNOGOZDZICE","152"
"HOHENWARTE (SCHLESIEN)","CZARNOGOZDZICE","152"
"CZARNOZYLY","CZARNOZYLY","152"
"SCHWARZGRUND","CZARNOZYLY","152"
"SCHATTKAU","CZATKOWY","152"
"ZYRUS","CZCIRADZ","152"
"TSCHIRNAU","CZERNINA","152"
"LESTEN","CZERNINA","152"
"SCHWARZENDORF","CZERNIKOWO","152"
"ROTHENBURG AN DER ODER","CZERWIENSK","152"
"TSCHENSTOCHAU","CZESTOCHOWA","152"
"SCHLOPPE","CZLOPA","152"
"TAMSEL","DABROSZYN","152"
"DAMERAU","DABROWKA TCZEWSKA","152"
"GROSS DAMMER","DABROWKA WIELKOPOLSKA","152"
"GILGENBURG","DABROWNO","152"
"RUGENWALDE","DARLOWO","152"
"RUGENWALDERMUNDE","DARLOWKO","152"
"DATTEN","DATYN","152"
"NEUDAMM","DEBNO","152"
"GEYERSDORF","DEBOWA LEKA","152"
"LANGENFELD","DLUGOSZYN","152"
"DOBRAU","DOBRA","152"
"GUTTSTADT","DOBRE MIASTO","152"
"GUTTENTAG","DOBRODZIEN","152"
"JASCOBSHAGEN","DOBRZANY","152"
"WOLDENBERG","DOBIEGNIEW","152"
"NIEDER GRUPPE","DOLNA GRUPA","152"
"NEUWEDELL","DRAWNO","152"
"DRAMBURG","DRAWSKO POMORSKIE","152"
"DRIESEN","DREZDENKO","152"
"HEINERSDORF","DROGOMIN","152"
"DRENZIG","DRZENSKO","152"
"LEICHHOLZ","DRZEWCE","152"
"DRENTKAU","DRZONKOW","152"
"DORINGAU","DZIADOSZYCE","152"
"SOLDAU","DZIALDOWO","152"
"CHRISTBURG","DZIERZGON","152"
"REICHENBACH","DZIERZONIOW","152"
"BERG DIEVENOW","DZIWNOW","152"
"KOLBERGER DEEP","DZWIRZYNO","152"
"ELBING","ELBLAG","152"
"LYCK","ELK","152"
"FRAUENBERG","FROMBORK","152"
"GROSS GANDERN","GADKOW WIELKI","152"
"DANZIG","GDANSK","152"
"AMTITZ","GEBICE","152"
"LOTZEN","GIZYCKO","152"
"LEIMNITZ","GLINSK","152"
"GLEISSEN","GLISNO","152"
"GLEIWITZ","GLIWICE","152"
"(GROSS) GLOGAU","GLOGOW","152"
"OBERGLOGAU","GLOGOWEK","152"
"LEOBSCHUTZ","GLUBCZYCE","152"
"BAD ZIEGENHALS","GLUCHOLAZY","152"
"STEINBUSCH","GLUSKO","152"
"MEWE","GNIEW","152"
"ARGENAU","GNIEWKOWO","152"
"GNESEN","GNIEZNO","152"
"GULZOW","GOLCZEWO","152"
"GOLDAP","GOLDAP","152"
"GULLNOW","GOLENIOW","152"
"OBER GRUPPE","GORNA GRUPA","152"
"GORZBENZ","GORZNO","152"
"LANDSBERG IN OSTPREUSSEN","GOROWO ILAWECKIE","152"
"LANDSBERG AN DER WARTHE","GORZOW WIELKOPOLSKI","152"
"OBER GORZIG","GORZYCA","152"
"PARADIES","GOSCIKOWO","152"
"GROSS JESTIN","GOSCINO","152"
"ALEXANDERSDORF","GOSCINOWO","152"
"FREIWALDAU","GOZDNICA","152"
"HEIDEHAUSER","GOZDNO","152"
"GUSTEBIESE","GOZDOWICE","152"
"ALTWERDER","GRABOW NAD PROSNA","152"
"BUCHHOLZ","GRABOWO","152"
"GREBELWITZ","GROBLICE","152"
"GROTTKAU","GRODKOW","152"
"GRADITZ","GRODZISZCZE","152"
"GROTZSCH","GRODZISZCZE","152"
"GRAUDENZ","GRUDZIADZ","152"
"GREIFENBERG IN POMMERN","GRYFICE","152"
"GREIFENHAGEN","GRYFINO","152"
"SEEFELD","GRZEDZICE","152"
"GRZYBOWEN","GRZYBOWO","152"
"BIRKENSEE","GRZYBOWO","152"
"GRIBOW","GRZYBOWO","152"
"GUBEN","GUBIN","152"
"GOTTKENDORF","GUTKOWO","152"
"HELA","HEL","152"
"DEUTSCH EYLAU","ILAWA","152"
"HALBAU","ILOWA","152"
"NORENBERG","INSKO","152"
"JABLONOWO","JABLONOWO POMORSKIE","152"
"GOSSLERSHAUSEN","JABLONOWO POMORSKIE","152"
"JAULITZ","JALOWICE","152"
"JAHNSDORF","JANISZOWICE","152"
"HERMSDORF","JARKOWICE","152"
"JOMENDORF","JAROTY","152"
"GASSEN","JASIEN","152"
"JASTROW","JASTROWIE","152"
"JAUER","JAWOR","152"
"HIRSCHBERG IM RIESENGEBERGE","JELENIA GORA","152"
"JEHSER","JEZIORY","152"
"NIEDER JESER","JEZIORY DOLNE","152"
"SEEBURG","JEZIORANY","152"
"JORDAN","JORDANOWO","152"
"KALAU","KALAWA","152"
"KALLIES","KALISZ POMORSKI","152"
"KALZIG","KALSKO","152"
"CAMMIN","KAMIEN POMORSKI","152"
"LANDESHUT","KAMIENNA GORA","152"
"UNRUHSTADT","KARGOWA","152"
"KORLIN AN DER PERSANTE","KARLINO","152"
"KATTOWITZ","KATOWICE","152"
"BODENWINKEL","KATY RYBACKIE","152"
"KANTH","KATY WROCLAWSKIE","152"
"CANTH","KATY WROCLAWSKIE","152"
"KANDRZIN-COSEL","KEDZIERZYN-KOZLE","152"
"SCHONBORN","KEPSKO","152"
"KAINSCHT","KESZYCA","152"
"RASTENBURG","KETRZYN","152"
"KLEMPIN","KLEPINO","152"
"KLEMZIG","KLEPSK","152"
"GLATZ","KLODZKO","152"
"KLONNAU","KLONOWO","152"
"KLONOWO","KLONOWO","152"
"KLONTAL","KLONOWO","152"
"KLOPPITZ","KLOPOT","152"
"KREUZBERG","KLUCZBORK","152"
"KOHLO","KOLO","152"
"KOLBERG","KOLOBRZEG","152"
"COLONNOWSKA","KOLONOWSKIE","152"
"GRAFENWEILER","KOLONOWSKIE","152"
"KUNAU","KONIN ZAGANSKI","152"
"FRIEDLAND IN OBERSCHLESIEN","KORFANTOW","152"
"POLNISCH KRONE","KORONOWO","152"
"CRONE AN DER BRAHE","KORONOWO","152"
"KRONE AN DER BRAHE","KORONOWO","152"
"KUSCHERN","KOSARZYN","152"
"KOSTEN","KOSCIAN","152"
"KUSTRIN","KOSTRZYN NAD ODRA","152"
"KOSLIN","KOSZALIN","152"
"KOTTWITZ","KOTOWICE","152"
"SCHONSEE","KOWALEWO POMORSKIE","152"
"FREYSTADT IN SCHLESIEN","KOZUCHOW","152"
"SEIFFERSDORF","KOZY","152"
"SEIBERSDORF","KOZY","152"
"KOSY","KOZY","152"
"KRANGEN","KRAG","152"
"KROJANKE","KRAJENKA","152"
"NIEDER-KRANIG","KRAJNIK DOLNY","152"
"HOHEN-KRANIG","KRAJNIK GORNY","152"
"KRAKAU","KRAKOW","152"
"KRAPPITZ","KRAPKOWICE","152"
"ALTKRANZ","KRAZKOWO","152"
"(GROSS) KROSSIN","KROSINO","152"
"KRESSENDORF","KRZESZOWICE","152"
"CROSSEN AN DER ODER","KROSNO ODRZANSKIE","152"
"KULKAU","KULIGOWO","152"
"KUMMELTITZ","KUMIALTOWICE","152"
"KUNERSDORF","KUNOWICE","152"
"KOPPEN","KUPIENINO","152"
"KRUSSOW","KURCEWO","152"
"KURZIG","KURSKO","152"
"KUPFERMUHLE","KUZNIK","152"
"MARIENWERDER","KWIDZYN","152"
"LESSENDORF","LASOCIN","152"
"LANDECK IN WESTPREUSSEN","LEDYCZEK","152"
"LIEGNITZ","LEGNICA","152"
"WAHLSTATT","LEGNICKIE POLE","152"
"ALT LIMMRITZ","LEMIERZYCE","152"
"LESCHNITZ","LESNICA","152"
"BERGSTADT","LESNICA","152"
"LISSA","LESZNO","152"
"NIEDER LESCHEN","LESZNO DOLNE","152"
"KLEIN LICHTENAU","LICHNOWKI","152"
"GROSS LICHTENAU","LICHNOWY","152"
"HEILSBERG","LIDZBARK WARMINSKI","152"
"LIKUSEN","LIKUSY","152"
"LINDE","LINIA","152"
"LIPPEHNE","LIPIANY","152"
"MANSFELDE","LIPIE GORY","152"
"LINDENBERG","LIPNIK","152"
"LIESSAU","LISEWO MALBORSKIE","152"
"LIEBAU","LUBAWKA","152"
"LOBFELDE","LUBIEWO","152"
"LIEBSCHAU","LUBISZEWO TCZEWSKIE","152"
"LUBEN","LUBIN","152"
"MERZDORF","LUBINICKO","152"
"WILHELMSHOHE","LUBOGORA","152"
"LUBAN","LUBON","152"
"SOMMERFELD","LUBSKO","152"
"LUTUTOW","LUTUTOW","152"
"LANDSTETT","LUTUTOW","152"
"LANDSTATT","LUTUTOW","152"
"LEGEL","LAGODA","152"
"LASK","LASK","152"
"OBER LAZISK","LAZISKA GORNE","152"
"LUBUSER LOOSE","LAZY LUBUSKIE","152"
"LEBA","LEBA","152"
"LENGAINEN","LEGAJNY","152"
"LUGKNITZ","LEKNICA","152"
"LANSITZ","LEZYCA","152"
"LABES","LOBEZ","152"
"LOBSENS","LOBZENICA","152"
