birth_city,edit1_deu,edit1_int,edit1_eng
MEISSENDORF,WEISSENDORF,NA,NA
KERMPEN,KEMPEN,NA,KEMPEN
LOZNICA,NA,LAZNICA,NA
DESTEL,NA,ESTEL,NA
CARLSRUHE,KARLSRUHE,NA,KARLSRUHE
GELSENKICHEN,GELSENKIRCHEN,NA,GELSENKIRCHEN
LEBANON,NA,LEBANOUN,NA
TARGOWKA,NA,TARNOWKA,NA
BLIERKASTEL,BLIESKASTEL,NA,NA
STRUCKDORF,STRUKDORF,NA,NA
KOPIENICE,NA,KOPIENICA,KOZIENICE
ALLENBURG,ALTENBURG,NA,ALTENBURG
STUBEN,STUBBEN,NA,NA
KOSLAU,ROSLAU,LOSLAU,NA
WARNSDORF,ARNSDORF,NA,NA
RUCKERSHAUSEN,RECKERSHAUSEN,NA,NA
WERNDE,WEHNDE,NA,WERNE
LEVERN,BEVERN,NA,NA
RINDERN,LINDERN,NA,NA
DAHLE,DAHLEM,NA,NA
WOLFEN,WOLKEN,NA,NA
GORNJE LJUBINJE,NA,GORNJA LJUBINJE,NA
RUDERSDORF,LUDERSDORF,NA,NA
TREBNITZ,TROBNITZ,NA,NA
GNJILANE,NA,GHJILANE,NA
WEILRODE,BEILRODE,NA,NA
SCHALE,NA,SCHALI,NA
PRISTINA,NA,PRISHTINA,NA
KOFFI-BADOUKRO,NA,KOFFIBADOUKRO,NA
DUTTWEILER,DITTWEILER,NA,NA
WERLAU,WERDAU,NA,WERDAU
UESEN,UELSEN,NA,NA
HESSISCH-OLDENDORF,HESSISCH OLDENDORF,NA,HESSISCH OLDENDORF
BORGSTEDE,BORGSTEDT,NA,NA
JORDAN,NA,NORDAN,NA
GREIFFENBERG,GREIFENBERG,NA,NA
VITEBSK,NA,WITEBSK,NA
WURBEN,WERBEN,NA,WURZEN
NEUSTADT B. COBURG,NEUSTADT B.COBURG,NA,NA
WINDHORST,LINDHORST,NA,NA
HAMBORN,HASBORN,NA,NA
WANDERSLEBEN,WUNDERSLEBEN,NA,NA
ARBING,BARBING,ARBIN,NA
HEIDENSTEIN,HELDENSTEIN,NA,NA
MUCHEN,BUCHEN,NA,NA
BREDOW,NA,BLEDOW,NA
LANGSDORF,LANGDORF,NA,NA
KLEINBITTERSDORF,KLEINBLITTERSDORF,NA,NA
SOBERNHEIM,OBERNHEIM,NA,NA
HOLTHAUSEN,HOLTHUSEN,NA,NA
DIRSCHAN,NA,DIRSCHAU,NA
BREHNA,BREUNA,BRENNA,NA
OER-ERCKENSCHWICK,OER-ERKENSCHWICK,NA,OER-ERKENSCHWICK
HEIDIGENHAFEN,HEILIGENHAFEN,NA,NA
BRANITZ,BARNITZ,NA,NA
FRIEDINGEN,FRIDINGEN,NA,NA
BOCKWITZ,ROCKWITZ,NA,NA
PASSENHEIM,BASSENHEIM,NA,NA
SCHORZINGEN,NA,SCHERZINGEN,NA
KARLBURG,KARLSBURG,KARLSBURG,NA
MEINIGEN,MEININGEN,NA,MEININGEN
PRISHTINE,NA,PRISHTINA,NA
BAD SALZUFFLEN,BAD SALZUFLEN,NA,BAD SALZUFLEN
GLSENKIRCHEN,GELSENKIRCHEN,NA,GELSENKIRCHEN
KEVELAR,KEVELAER,NA,KEVELAER
SJENICA,NA,SJENINA,SENICA
WARTENBURG,WARDENBURG,NA,NA
DINGDEN,DINGEN,NA,NA
IDAR OBERSTEIN,IDAR-OBERSTEIN,NA,IDAR-OBERSTEIN
RASTENBURG,RASTENBERG,NA,NA
DATTEL,DATTELN,BATTEL,DATTELN
OSTERBURG,OSTERBERG,NA,NA
SCHLAKENMEHREN,SCHALKENMEHREN,NA,NA
TAMBACH,DAMBACH,NA,NA
PROTASOWO,NA,PROTASSOWO,NA
PLOSSNECK,POSSNECK,NA,NA
BENSBERG,ABENSBERG,NA,NA
GREIFSWALDE,GREIFSWALD,NA,NA
HENNEN,HENNEF,NA,NA
ZETHAU,WETHAU,NA,NA
FRANKURT AM MAIN,NA,NA,FRANKFURT AM MAIN
MEISCHLITZ,WEISCHLITZ,NA,NA
OBILIC,NA,OBELIC,NA
HAUSDORF,HALSDORF,NA,NA
RHEDEN,REHDEN,RHENEN,RHEDE
EBSTORF,ESTORF,NA,NA
WARTENAU,NA,WARTHENAU,NA
LUBENZ,LABENZ,LUBEN,NA
BARTING,BARBING,BARTIN,BARTIN
GESLSENKIRCHEN,GELSENKIRCHEN,NA,GELSENKIRCHEN
TITTMONNING,TITTMONING,NA,NA
HORNBURG,DORNBURG,NA,NA
KUSOWO,NA,KUNOWO,NA
HORNHAUSEN,GORNHAUSEN,NA,NA
MORLBACH,MORBACH,NA,NA
WEIGSDORF,WEISSDORF,NA,NA
TREYSA,NA,TREMSA,NA
NEUSTETTIN,NEUSTETTEN,NEU STETTIN,NA
DEMNIN,DEMMIN,NA,NA
GELSENKRICHEN,GELSENKIRCHEN,NA,GELSENKIRCHEN
DUTZEN,LUTZEN,NA,NA
ALBERSTEDT,ALPERSTEDT,NA,NA
SANKT WEDEL,NA,NA,SANKT WENDEL
HABICHTSWALDE,HABICHTSWALD,NA,NA
HELMSDORF,HELMSTORF,NA,NA
RADENAU,ADENAU,NA,NA
BEDHEIM,OEDHEIM,NA,NA
DACHENAU,JACHENAU,NA,NA
OBEROTTENDORF,OBEROSTENDORF,NA,NA
MOENCHENGLADBACH,MONCHENGLADBACH,NA,MONCHENGLADBACH
HOENSBROECK,NA,HOENSBROCK,NA
GLINDOW,LINDOW,NA,NA
PERNITZ,PEGNITZ,NA,NA
WANDHOFEN,WAIDHOFEN,WAIDHOFEN,NA
BENNSTEDT,HENNSTEDT,NA,NA
HERSFELD,ERSFELD,NA,NA
RUGENWALDE,NA,REGENWALDE,NA
HERTE,HERTEN,NA,NA
FABRITSCHNY,NA,FABRITSCHNYJ,NA
BRUNNE,BRUNNEN,BRUNN,NA
ALBENDORF,ALLENDORF,NA,NA
KARASU,NA,KARASUK,KARASUK
NOWINA,NA,SOWINA,NA
RAMSIN,RAMBIN,NA,NA
SEIEN,SEIFEN,NA,NA
HERMESDORF,HERMSDORF,NA,NA
FREUDENTHAL,FREUDENTAL,NA,NA
SAARLOIS,SAARLOUIS,NA,SAARLOUIS
BERGISCH-GLADBACH,BERGISCH GLADBACH,NA,BERGISCH GLADBACH
BAD SALZDETFURT,BAD SALZDETFURTH,NA,NA
WOLMIERSTEDT,WOLMIRSTEDT,NA,NA
RADOMIN,NA,RADOMIR,NA
PREISDORF,PRISDORF,NA,NA
HADDENHAUSEN,HIDDENHAUSEN,NA,HIDDENHAUSEN
BEOGRAD,NA,BELGRAD,NA
GIMSBACH,IMSBACH,WIMSBACH,NA
UBACH,BUBACH,NA,NA
FIRSCHAU,HIRSCHAU,DIRSCHAU,NA
OPPENDORF,EPPENDORF,NA,NA
LESCHWITZ,NESCHWITZ,LESCHNITZ,NA
SIEMERSDORF,WIEMERSDORF,NA,NA
LOSTAU,POSTAU,LOSLAU,NA
SELMANN,NA,SEELMANN,NA
RODEBACH,RODENBACH,NA,NA
KALDENKIRCHEN,KALTENKIRCHEN,NA,KALTENKIRCHEN
WINDISCH-ESCHENBACH,WINDISCHESCHENBACH,NA,NA
RECKLIGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN
KOLPIN,COLPIN,NA,NA
KIEN HOA,NA,BIEN HOA,BIEN HOA
STEINSDORF,STEINDORF,NA,NA
GALLINGEN,GABLINGEN,NA,NA
IBBENBUHREN,IBBENBUREN,NA,NA
HERSCHWEILER/PETTERSHEIM,HERSCHWEILER-PETTERSHEIM,NA,NA
ELBERGEN,NA,EIBERGEN,EIBERGEN
SOMBOR,NA,ZOMBOR,NA
ROSENFELDE,ROSENFELD,NA,NA
NEINSTEDT,DEINSTEDT,NA,NA
GROSSKORIS,GROSS KORIS,NA,NA
KUNITZ,NA,KONITZ,NA
HENNINGSDORF,HENNIGSDORF,NA,HENNIGSDORF
WEICHA,WEICHS,NA,NA
BANJA LUKA,NA,BANJA LUCA,NA
CSTROP-RAUXEL,CASTROP-RAUXEL,CASTROP-RAUXEL,CASTROP-RAUXEL
BOTTROO,BOTTROP,NA,BOTTROP
KARSCHAU,NA,WARSCHAU,NA
DOBRI DOL,NA,DOBRI DO,NA
HARTENBERG,WARTENBERG,NA,NA
CANITZ,SANITZ,NA,NA
ROSSLAU,ROSLAU,NA,NA
BERANE,NA,BERKANE,BERKANE
EBINGEN,BINGEN,NA,EHINGEN
BIRTEN,HIRTEN,NA,NA
KROPSTADT,NA,KRONSTADT,KRONSTADT
HALLDORF,DALLDORF,NA,NA
KAHLBERG,KOHLBERG,NA,NA
BELZIG,NA,BELZI,NA
RHADEN,RAHDEN,NA,RAHDEN
FLEMING,FLAMING,NA,NA
VOLKENRODE,VOLKERODE,NA,NA
ERKALENZ,ERKELENZ,NA,ERKELENZ
WADANG,NA,PADANG,PADANG
K.MARAS,NA,K. MARAS,NA
SUDERSHAUSEN,MUDERSHAUSEN,NA,NA
REDKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN
LESKOVAC,NA,LESKOVAS,NA
ALTENBRUCH,ALTENBUCH,NA,NA
REUSSEN,CREUSSEN,NA,NA
KOLZOW,GOLZOW,NA,NA
DESSAU,DERSAU,ESSAU,NA
BITTERFELD/WOLFEN,BITTERFELD-WOLFEN,NA,BITTERFELD-WOLFEN
ALTENTREPTOV,ALTENTREPTOW,NA,NA
ANHOLT,ANHALT,NA,NA
NACHRODT-WIBLINGVERDE,NACHRODT-WIBLINGWERDE,NA,NA
OSTERNDORF,OTTERNDORF,NA,NA
DOMNITZ,DOMITZ,NA,NA
LEISING,LEISNIG,NA,NA
PURITZ,MURITZ,NA,NA
KERNEIN,KERNEN,NA,NA
RECKLINGHUASEN,RECKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN
SAGAR,SAGARD,NA,NA
UROSEVAC,NA,UROSEVACI,NA
GOTZING,MOTZING,NA,NA
NUDERSDORF,LUDERSDORF,NA,NA
MANDELN,MANDEL,NA,NA
AHLBACH,WAHLBACH,NA,NA
OTTENHAUSEN,ATTENHAUSEN,NA,NA
ARANDJELOVAC,NA,ARANDELOVAC,ARANDELOVAC
HEIDESHEIM,DEIDESHEIM,NA,NA
FORSBACH,FORBACH,NA,FORBACH
LASBECK,LASBEK,NA,NA
WEHRDEN,GEHRDEN,NA,NA
TRIEBES,TRIEBEL,NA,NA
DJAKARTA,NA,JAKARTA,JAKARTA
LOBURG,COBURG,NA,COBURG
OBERKIRCHEN,OBERNKIRCHEN,NA,NA
FERIZAJ,NA,FERIZAY,NA
KOSCHANTIN,NA,KOSCHENTIN,NA
MERSCHWEILER,FERSCHWEILER,NA,NA
BRENNEN,BRUNNEN,NA,NA
LEUTHEN,HEUTHEN,BEUTHEN,NA
OBERADEN,OBERRADEN,NA,NA
BENTHEIM,BELTHEIM,NA,BENSHEIM
WANGE,WANGEN,NA,NA
OSTRAU,OTTRAU,OSTRA,NA
SIMMERSDORF,SIMMELSDORF,NA,NA
QUEDLINGBURG,QUEDLINBURG,NA,QUEDLINBURG
WARTENHOFEN,WALTENHOFEN,NA,NA
GITTERSDORF,DITTERSDORF,NA,NA
AMDORF,ALMDORF,AADORF,NA
RUDZIENIEC,NA,RUDZINIEC,NA
RECKLINGHAUEN,RECKLINGHAUSEN,RECKLINGHAUSEN,RECKLINGHAUSEN
HOENSROCK,NA,HOENSBROCK,NA
ZEMMIN,DEMMIN,ZEMRIN,NA
POLLNOW,NA,GOLLNOW,NA
FRIESACH,FRIESACK,NA,NA
KHANAN,NA,KHANNA,KHANNA
MERTEN,HERTEN,MARTEN,HERTEN
POLLMA,NA,POLLA,NA
RATHEN,LATHEN,ATHEN,NA
STEDTFELD,STETTFELD,NA,NA
PECKELSHEIM,ECKELSHEIM,NA,NA
RAMSDORF,DAMSDORF,NA,NA
DUISBURT,DUISBURG,NA,DUISBURG
MARENBERG,MARIENBERG,NA,MARIENBERG
MONCHEN,MUNCHEN,NA,NA
SETTERICH,METTERICH,NA,NA
HEINERSDORF,HEIDERSDORF,NA,NA
LANGENHAIN,LANGENHAHN,NA,NA
KIRSCHAU,HIRSCHAU,DIRSCHAU,NA
SEITENDORF,WEITENDORF,NA,NA
AL NASRAH,NA,AL BASRAH,NA
HEINSHEIM,HEIMSHEIM,NA,NA
RAPENDORF,PAPENDORF,NA,NA
BEILINGRIES,BEILNGRIES,NA,NA
BERGHOLZHAUSEN,BORGHOLZHAUSEN,NA,NA
HERBSTLEBEN,HERBSLEBEN,NA,NA
RIBNITZ,NA,RIBNITA,RIBNITA
KETTWIG,KETTIG,NA,NA
SELLIN,SELPIN,ZELLIN,HELLIN
LAIMBACH,LEIMBACH,NA,NA
GIERSDORF,BIERSDORF,NA,NA
RURICH,AURICH,ZURICH,AURICH
ULZEN,UELZEN,NA,NA
OSSIPOWKA,NA,OSIPOWKA,NA
NOVI PAZAR,NA,INOVI PAZAR,NA
OBER LASISK,NA,OBER LAZISK,NA
LIPINI,NA,LIPINE,NA
VOLKSMARSEN,VOLKMARSEN,NA,NA
WAHRENDORF,NAHRENDORF,NA,WARENDORF
BOBBIN,BOBZIN,NA,NA
POLANICA ZDROJ,NA,POLANICA-ZDROJ,NA
DUINGEN,DINGEN,NA,NA
WENDFELD,BENDFELD,NA,NA
WERZEN,AERZEN,NA,WURZEN
BURGHOLZHAUSEN,BORGHOLZHAUSEN,NA,NA
EITZENDORF,LITZENDORF,NA,NA
LANGSTADT,LANGSTEDT,NA,NA
JOLLENBECK,MOLLENBECK,NA,NA
HOLSEN,HOLZEN,NA,NA
BISKUPICE,NA,BISKUPIEC,NA
