birth_city,edit1_deu,edit1_int,edit1_eng,canon
MEISSENDORF,WEISSENDORF,NA,NA,
KERMPEN,KEMPEN,NA,KEMPEN,KEMPEN
LOZNICA,NA,LAZNICA,NA,LAZNICA
DESTEL,NA,ESTEL,NA,
CARLSRUHE,KARLSRUHE,NA,KARLSRUHE,KARLSRUHE
GELSENKICHEN,GELSENKIRCHEN,NA,GELSENKIRCHEN,GELSENKIRCHEN
LEBANON,NA,LEBANOUN,NA,LEBANON
TARGOWKA,NA,TARNOWKA,NA,TARNOWKA
BLIERKASTEL,BLIESKASTEL,NA,NA,BLIESKASTEL
STRUCKDORF,STRUKDORF,NA,NA,STRUKDORF
KOPIENICE,NA,KOPIENICA,KOZIENICE,KOPIENICA
ALLENBURG,ALTENBURG,NA,ALTENBURG,
STUBEN,STUBBEN,NA,NA,STUBBEN
KOSLAU,ROSLAU,LOSLAU,NA,
WARNSDORF,ARNSDORF,NA,NA,
RUCKERSHAUSEN,RECKERSHAUSEN,NA,NA,RECKERSHAUSEN
WERNDE,WEHNDE,NA,WERNE,
LEVERN,BEVERN,NA,NA,
RINDERN,LINDERN,NA,NA,
DAHLE,DAHLEM,NA,NA,
WOLFEN,WOLKEN,NA,NA,
GORNJE LJUBINJE,NA,GORNJA LJUBINJE,NA,GORNJA LJUBINJE
RUDERSDORF,LUDERSDORF,NA,NA,
TREBNITZ,TROBNITZ,NA,NA,
GNJILANE,NA,GHJILANE,NA,GHJILANE
WEILRODE,BEILRODE,NA,NA,
SCHALE,NA,SCHALI,NA,
PRISTINA,NA,PRISHTINA,NA,PRISHTINA
KOFFI-BADOUKRO,NA,KOFFIBADOUKRO,NA,KOFFIBADOUKRO
DUTTWEILER,DITTWEILER,NA,NA,DITTWEILER
WERLAU,WERDAU,NA,WERDAU,WERDAU
UESEN,UELSEN,NA,NA,
HESSISCH-OLDENDORF,HESSISCH OLDENDORF,NA,HESSISCH OLDENDORF,HESSISCH OLDENDORF
BORGSTEDE,BORGSTEDT,NA,NA,
JORDAN,NA,NORDAN,NA,
GREIFFENBERG,GREIFENBERG,NA,NA,GREIFENBERG
VITEBSK,NA,WITEBSK,NA,WITEBSK
WURBEN,WERBEN,NA,WURZEN,WERBEN
NEUSTADT B. COBURG,NEUSTADT B.COBURG,NA,NA,NEUSTADT B.COBURG
WINDHORST,LINDHORST,NA,NA,
HAMBORN,HASBORN,NA,NA,
WANDERSLEBEN,WUNDERSLEBEN,NA,NA,
ARBING,BARBING,ARBIN,NA,
HEIDENSTEIN,HELDENSTEIN,NA,NA,HELDENSTEIN
MUCHEN,BUCHEN,NA,NA,
BREDOW,NA,BLEDOW,NA,
LANGSDORF,LANGDORF,NA,NA,LANGDORF
KLEINBITTERSDORF,KLEINBLITTERSDORF,NA,NA,KLEINBLITTERSDORF
SOBERNHEIM,OBERNHEIM,NA,NA,
HOLTHAUSEN,HOLTHUSEN,NA,NA,
DIRSCHAN,NA,DIRSCHAU,NA,
BREHNA,BREUNA,BRENNA,NA,
OER-ERCKENSCHWICK,OER-ERKENSCHWICK,NA,OER-ERKENSCHWICK,OER-ERKENSCHWICK
HEIDIGENHAFEN,HEILIGENHAFEN,NA,NA,
BRANITZ,BARNITZ,NA,NA,BARNITZ
FRIEDINGEN,FRIDINGEN,NA,NA,FRIDINGEN
BOCKWITZ,ROCKWITZ,NA,NA,
PASSENHEIM,BASSENHEIM,NA,NA,
SCHORZINGEN,NA,SCHERZINGEN,NA,
KARLBURG,KARLSBURG,KARLSBURG,NA,KARLSBURG
MEINIGEN,MEININGEN,NA,MEININGEN,
PRISHTINE,NA,PRISHTINA,NA,
BAD SALZUFFLEN,BAD SALZUFLEN,NA,BAD SALZUFLEN,BAD SALZUFLEN
GLSENKIRCHEN,GELSENKIRCHEN,NA,GELSENKIRCHEN,GELSENKIRCHEN
KEVELAR,KEVELAER,NA,KEVELAER,KEVELAER
SJENICA,NA,SJENINA,SENICA,
WARTENBURG,WARDENBURG,NA,NA,WARDENBURG
DINGDEN,DINGEN,NA,NA,DINGEN
IDAR OBERSTEIN,IDAR-OBERSTEIN,NA,IDAR-OBERSTEIN,IDAR-OBERSTEIN
RASTENBURG,RASTENBERG,NA,NA,
DATTEL,DATTELN,BATTEL,DATTELN,DATTELN
OSTERBURG,OSTERBERG,NA,NA,OSTERBERG
SCHLAKENMEHREN,SCHALKENMEHREN,NA,NA,SCHALKENMEHREN
TAMBACH,DAMBACH,NA,NA,
PROTASOWO,NA,PROTASSOWO,NA,
PLOSSNECK,POSSNECK,NA,NA,
BENSBERG,ABENSBERG,NA,NA,
GREIFSWALDE,GREIFSWALD,NA,NA,GREIFSWALD
HENNEN,HENNEF,NA,NA,
ZETHAU,WETHAU,NA,NA,
FRANKURT AM MAIN,NA,NA,FRANKFURT AM MAIN,FRANKFURT AM MAIN
MEISCHLITZ,WEISCHLITZ,NA,NA,
OBILIC,NA,OBELIC,NA,
HAUSDORF,HALSDORF,NA,NA,
RHEDEN,REHDEN,RHENEN,RHEDE,REHDEN
EBSTORF,ESTORF,NA,NA,
WARTENAU,NA,WARTHENAU,NA,WARTHENAU
LUBENZ,LABENZ,LUBEN,NA,
BARTING,BARBING,BARTIN,BARTIN,
GESLSENKIRCHEN,GELSENKIRCHEN,NA,GELSENKIRCHEN,GELSENKIRCHEN
TITTMONNING,TITTMONING,NA,NA,TITTMONING
HORNBURG,DORNBURG,NA,NA,
KUSOWO,NA,KUNOWO,NA,
HORNHAUSEN,GORNHAUSEN,NA,NA,
MORLBACH,MORBACH,NA,NA,
WEIGSDORF,WEISSDORF,NA,NA,
TREYSA,NA,TREMSA,NA,
NEUSTETTIN,NEUSTETTEN,NEU STETTIN,NA,NEUSTETTEN
DEMNIN,DEMMIN,NA,NA,DEMMIN
GELSENKRICHEN,GELSENKIRCHEN,NA,GELSENKIRCHEN,GELSENKIRCHEN
DUTZEN,LUTZEN,NA,NA,
ALBERSTEDT,ALPERSTEDT,NA,NA,
SANKT WEDEL,NA,NA,SANKT WENDEL,SANKT WENDEL
HABICHTSWALDE,HABICHTSWALD,NA,NA,
HELMSDORF,HELMSTORF,NA,NA,
RADENAU,ADENAU,NA,NA,
