pid,city_1,city_2,city_3,city_4,imp_birth_country,imp_type,city_1_country,city_2_country,city_3_country,city_4_country,exonym_country.x,exonym_country.y,exonym_country_0,exonym_country_1,history_birth_country
164,GILGENBURG,OSTERODE,NA,NA,000/152,unique_city,152,NA,NA,NA,152,152,NA,NA,152
486,FLORIDA,HIALEAH,NA,NA,351/368,unique_city/world_list,NA,NA,NA,NA,NA,NA,NA,NA,NA
977,FORDE,LENNESTADT,NA,NA,000/149,german_city/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
1121,ALLENSTEIN,OTTENDORF,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
1150,DANZIG,SCHONSEE,NA,NA,000/152,german_city/unique_city,152,152,NA,NA,152,152,NA,NA,152
1358,OSTERODE,OSTPREUSSEN,NA,NA,000/152,ostgebiete/unique_city,NA,NA,NA,NA,NA,NA,152,152,152
1503,ALLENSTEIN,SPIEGELBERG,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
1784,LUBAINEN,OSTERODE,NA,NA,000/152,unique_city,NA,NA,NA,NA,NA,NA,152,152,152
2207,GLAUCHAU,GLUCHOWO,NA,NA,000/152,german_city/unique_citizen,NA,NA,NA,NA,NA,NA,NA,152,152
2218,FELLHAMMER,WALDENBURG,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
2357,OSTERODE,OSTPREUSSEN,NA,NA,000/152,ostgebiete/unique_city,NA,NA,NA,NA,NA,NA,152,152,152
2491,CADIZ,JEREZ DE LA FRONTERA,NA,NA,161/462,unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
2597,FOHRENDORF,ROSENBERG,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
2621,GORY,TARNOWITZ,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
2994,GREIFENHAGEN,MESCHERIN,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
3045,ROSSEL,STOCKHAUSEN,NA,NA,000/152,german_base/unique_city,152,NA,NA,NA,152,152,NA,NA,152
3297,ROSSEL,WONNEBERG,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
3407,FREUDENBERG,RASTENBURG,NA,NA,000/152,german_city/ostgebiete,NA,152,NA,NA,152,152,NA,NA,152
3840,ALLENSTEIN,HIRSCHBERG,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
3880,OSTROWO,SCHONFELD,NA,NA,000/152,german_city/unique_city,NA,NA,NA,NA,NA,NA,NA,152,152
3892,ELSASS,MULHAUSEN,NA,NA,129/160,unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
3945,NEUDORF-BOR,TICHAU,NA,NA,000/152,german_base/unique_city,NA,152,NA,NA,152,152,NA,NA,152
4044,ECKERSDORF,GLATZ,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
4142,TIENEN,WALDSHUT-TIENGEN,NA,NA,000/124,fuzzy/german_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
4381,FRANKENSTEIN,WARTHA,NA,NA,000/152,german_city/unique_city,NA,NA,NA,NA,NA,NA,152,152,152
5017,BRESLAU,LOHE,NA,NA,000/152,german_base/unique_city,152,NA,NA,NA,152,152,NA,NA,152
5117,EISENBERG,STREHLEN,NA,NA,000/152,german_city/ostgebiete,NA,152,NA,NA,152,152,NA,NA,152
5403,ITALIEN,PALERMO,NA,NA,137/349,country_literal/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
5679,ANNAHUTTE,SCHIPKAU,NA,NA,000/152,german_city/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
5765,AKSU,KAS.,SHANSUGUROWA,TALDY-KURGAN,444/479,city_o50,NA,NA,NA,NA,NA,NA,NA,NA,NA
5862,EICHEN,GLEIWITZ,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
6464,MOSEL,WINTRICH,NA,NA,000/438,german_city/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
6655,BLUMBERG,GUMBINNEN,NA,NA,000/160,german_city/ostgebiete,NA,NA,NA,NA,NA,NA,NA,152,152
6819,NEURODE,WALDENBURG,NA,NA,000/152,german_city/unique_city,152,152,NA,NA,152,152,NA,NA,152
6900,NEUSTADT,ORLA,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
6980,AUGGEN,BADEN,MUHLHEIM,NA,000/151,german_base/german_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
7410,ALLENSTEIN,NEU VIERZIGHUBEN,NOWE WLOKI,NA,000/152,german_base/unique_city,152,NA,NA,NA,152,152,NA,NA,152
7424,FRIEDENSHUTTE,OS,NA,NA,149/152,unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
7538,ELCHNIEDERUNG,HEINRICHSWALDE,NA,NA,000/160,german_city/ostgebiete,NA,NA,NA,NA,NA,NA,NA,152,152
7626,MADALENA,TOMAR,NA,NA,153/327,unique_city/world_list,NA,NA,NA,NA,NA,NA,NA,NA,NA
7951,BAD-LANDECK,GLATZ,NA,NA,000/152,german_base/unique_city,NA,152,NA,NA,152,152,NA,NA,152
8502,DEUTSCH EYLAU,ROSENBERG,NA,NA,000/152,german_city/unique_city,152,152,NA,NA,152,152,NA,NA,152
8518,SCHLESIEN,WALDENBURG,NA,NA,000/152,german_city/ostgebiete,NA,152,NA,NA,152,152,NA,NA,152
8526,POGEGEN,TILSIT,NA,NA,142/152,unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
8813,ILOCOS SUR,SANTIAGO,NA,NA,332/462,city_o50/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
9010,OS,RUDGERSHAGEN,NA,NA,149/152,unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
9156,ORTELSBURG,WILHELMSTHAL,NA,NA,000/152,german_city/unique_city,NA,NA,NA,NA,NA,NA,152,152,152
9598,BIRKEN,INSTERBURG,NA,NA,000/160,german_base/ostgebiete,NA,NA,NA,NA,NA,NA,NA,NA,NA
9864,GROTTKAU,WEISSACH,NA,NA,000/152,german_city/ostgebiete,152,NA,NA,NA,152,152,NA,NA,152
9866,KATY,OPOLE,NA,NA,152/368,unique_city/world_list,NA,NA,NA,NA,NA,NA,NA,NA,NA
9973,NEUENDORF,STUHM,NA,NA,000/152,german_city/unique_city,152,152,NA,NA,152,152,NA,NA,152
10118,POMMERN,SCHLAWE,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
10247,FRITZLAR,MUHLBACH,NA,NA,000/154,german_city/unique_city,NA,NA,NA,NA,NA,NA,NA,152,152
10380,DROCHTERSEN,HULL,NA,NA,000/368,german_city/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
10508,DONAU,LINZ,NA,NA,000/151,german_base,NA,NA,NA,NA,NA,NA,NA,NA,NA
10607,NEIDENBURG,WALLENDORF,NA,NA,000/152,german_city/ostgebiete,152,NA,NA,NA,152,152,NA,NA,152
10658,BRANDENBURG,ZIELENZIG,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
10680,PLESS,PSZCZYNA,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
10687,LANDSBERG,WARTHE,NA,NA,000/152,german_city/unique_city,NA,NA,NA,NA,NA,NA,152,152,152
10709,GREIFENHAGEN,MARIENTAL,NA,NA,000/152,fuzzy/unique_city,152,NA,NA,NA,152,152,NA,NA,152
11009,BACHWEILER,OS,NA,NA,149/152,unique_citizen/unique_city,NA,NA,NA,NA,NA,NA,NA,NA,NA
11086,FALKENHAGEN,RUMMELSBURG,NA,NA,000/152,german_city/unique_city,NA,152,NA,NA,152,152,NA,NA,152
11181,ROSSEL,VOIGTSDORF,NA,NA,000/152,german_city/unique_city,152,NA,NA,NA,152,152,NA,NA,152
